id,host_id,property_type,room_type,bathrooms_text,neighbourhood,name,description,accommodates,bathrooms,bedrooms,beds,price
203997,1001280,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Top location studio 1 block from lake!,"Spacious studio with washer/dryer, Wi-fi, supermarket and gym in the same building, cleaner + ironing, cable HDTV, everything you need! Great public transport to UN, IO's, bus stop on your doorstep and the lake just a stone's throw away.",2,1.0,1.0,0.0,130.0
276025,1442438,Entire rental unit,Entire home/apt,1 bath,"Versoix, Geneva, Switzerland",Lovely flat by Geneva lake,"This cozy flat is located in a very pleasant village, nearby Geneva lake, and near all facilities, such as groceries, trains, bus stops, banks, etc. It's perfect for a family with 2-3 children. Geneva center is at only 10 minutes by car/by train.<br />There's no lift!",3,1.0,1.0,4.0,70.0
338682,1001280,Entire rental unit,Entire home/apt,1.5 baths,"Geneva, Switzerland",Top location 1 block from the lake!,"One bedroom apartment located in a pedestrian street one block from the lake. Bus stop around the corner, wi-fi, cleaning lady, washer/dryer and dishwasher... Perfect place to hit the ground running. Your home from home in Geneva. Welcome to Switz!",2,1.5,1.0,1.0,133.0
411058,1706035,Private room in loft,Private room,1.5 shared baths,"Geneva, Switzerland",5th Sky (Downtown Geneva),"Unique & quiet attic loft located in Pâquis, the vibrant heart of Geneva, with an amazing view and a groovy host (LGBTIQ friendly). You can't be better located: about 150m away from the central station (Cornavin), 5mn from the lake side and 10mn from the airport, the UN HQ and Palexpo (Convention centre). The flat can be shared with me or rented entirely for an EXTRA cost. How cool is that? #Superhost ^_^",2,1.5,1.0,1.0,125.0
419631,2086993,Private room in rental unit,Private room,1.5 baths,"Geneva, Canton of Geneva, Switzerland",Beautiful Apm't in central Geneva (NB Guest Room),"Fabulous apartment with design interior in charming Geneva building with high ceilings and hardwood floors .<br />Left bank (Rive gauche) a 10 minute walk to the lake and jet d'eau, city center, shopping etc.<br />Surface area 190m2 with 7 rooms & 2 bathrooms (1st floor with elevator)<br /><br />Big Entrance<br />Dining Room<br />Living Room (with big sofa)<br />Play Room<br />Master Bedroom<br />Office<br />Guest Bedroom (double bed for GUEST)",2,1.5,1.0,1.0,120.0
626512,3110118,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Design apartment 2 blocks from lake,"Very well located, all commodities at walking distance. Fully refurbished with taste and always very clean.",2,1.0,1.0,2.0,121.0
649023,2375758,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Artistic studio in Geneva Old Town,A cosy studio featuring a comfortable double bed and all the commodities. Right in the heart of Geneva Old Town - next to St. Pierre Cathedral! Come and spend a few days in Geneva like a local.,2,1.0,1.0,1.0,101.0
664917,3359333,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland","Centre, elegant and quiet (long stay possible)","Enjoy Geneva in an elegant and fully renovated studio with a great balcony (panoramic view) in a very good standing building. <br /><br />Few minutes walking  from Geneva's center, lake, UN, and WHO in a quite, green and safe area very well connected (many bus lines , the Central railway station is less than 15 min. walking distance). <br /><br />Elegant and new fournitures.<br /><br />For your comfort, I have equipped the studio with Wifi high speed), Smart TV, washing machine and dryer machine , dish washer, micro waves….",2,1.0,1.0,2.0,118.0
703260,2067340,Entire rental unit,Entire home/apt,2 baths,"Cologny, Geneva, Switzerland",Spacious 2 BDR flat in residential parc complex,"2 bedroom flat (125m2 including balcony) in a newly built residential complex in Cologny with 2 indoor parking spots. You will enjoy the modern design, open space, private access to the parc, and 10min walk to the lake<br />Fully furnished, equipped, ideal for expats moving to Geneva and tourists. 7min to city centre by bus (bus stop outside the complex)<br />Amenities such as groceries, pharmacy, petrol station, tennis courts, football courts and many more are situated just across the road.",4,2.0,2.0,2.0,175.0
706264,3629403,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Cosy and very central apartment,"Welcome to a small apartment ideally located in the heart of Geneva,  very comfortable and well-equipped. 5 minutes' walk from the lake and close to buses and trams. 10 minutes' walk from Central Station.",4,1.0,1.0,2.0,137.0
751882,777025,Entire rental unit,Entire home/apt,1.5 baths,"Geneva, Switzerland",Apartment in the center of Geneva,Very central location walking distance to the city,4,1.5,2.0,2.0,185.0
751941,777025,Private room in rental unit,Private room,1.5 baths,"Geneva, Switzerland",Double bed on a mezzanine floor,"Mezzanine floor double bed with a shared bathroom, I live in the bigger room, but thee is a separate wc in the living room",2,1.5,1.0,0.0,80.0
766186,3987132,Entire loft,Entire home/apt,1 bath,"Geneva, Switzerland",Stylish Loft - Amazing Views,"The perfect place to stay while in Geneva. A stylish and comfortable modern loft apartment with loads of character, original wood beams and views of the river Rhône and Salève mountain - only 10 mins from the main train station.",4,1.0,1.0,2.0,155.0
775934,3778243,Private room in rental unit,Private room,1.5 shared baths,"Geneva, Switzerland",Charming little nest centre of Geneva WI-FI ONU,"GENEVA'S HEART!<br />3 mins. to our tramway stop<br />10 min. to Gare Cornavin<br />Locker in bedroom<br />Close to those facilities (shops, drugstore, coffee shops, medical center, local restaurantes, supermarket, laundromat, hairdresser, mall close by, public transports, etc.)<br />Wifi optical fiber<br />Self service Continental breakfast<br />Beautiful bedroom with single bed (90X200cm), wardrobe and small desk.<br />Close to:  UN, WIPO, WHO, ITC, WMO, ITU, CERN, ROLEX, Water Jet and Old Town - All easily doable by foot",1,1.5,1.0,1.0,53.0
899661,4896475,Entire rental unit,Entire home/apt,1 bath,"Genthod, Geneva, Switzerland",Superb fully furnished and equipped,"Superbe fuly furnished & equipped modern apartment in a villa,  ideal for long stay prffesionals, very comfortable & cozy . Perfect location in a beautiful quiet area,  walking distance to  the lake, close center of Geneva, International organizations Palexpo and the airport.<br />3-5 minutes walking distance to public transportation (in 6mnts to center);    15-20 mnts bicking. Parking in fron of the house available . <br /><br />*We give priority to long teme renters ( 6-12M)",2,1.0,2.0,1.0,220.0
909957,325495,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Geneva downtown white apartment,"Nice apartment in the middle of Geneva. 10 minutes walk from water front, city center, shopping, jet d'eau. 10 min from UN by bus.<br />Old building, high ceilings, hardwood floors, nice room decorated in white, little balcony.<br />2nd floor, without elevator. Full renovated last year.",5,1.0,2.0,4.0,130.0
921964,2633427,Private room in rental unit,Private room,1 shared bath,"Satigny, Geneva, Switzerland",Cosy Room in Satigny-10 min by train from Cornavin,Cosy and calm atmosphere. Access to living room kitchen fully furnished bathroom toilet and garden.,2,1.0,1.0,2.0,60.0
952395,4249323,Entire loft,Entire home/apt,1 bath,"Carouge, Geneva, Switzerland",Bright Loft 115 sq with parkview,"This beautiful bright space  is located on the 1st floor of a 2 storey building. Peaceful and central, 5 to 10 minutes by foot to the center of the city. Ideal for one person or a couple.",2,1.0,1.0,2.0,195.0
1050136,5782036,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland","charming,central old apart.8' toUNO","Comfortable, the apartment is situated in a coulorful area, 3 min. walking distance from the main train station (Cornavin) & 8 min. by train from the airport.",2,1.0,1.0,1.0,66.0
1081909,522480,Entire rental unit,Entire home/apt,1 bath,"Geneva, Switzerland",Perfect location to United Nations,"You will stay in a fully furnished, equipped and quiet 3rd story apartment in a stylish 1930ies building. Breakfast awaits you on your 1st night. Welcome to Geneva!",2,1.0,1.0,1.0,113.0
1163211,6370904,Private room in rental unit,Private room,1.5 shared baths,"Geneva, Switzerland",Centre: Stylish room incl. free public transports,"Stylish room in beautiful 120m2 apartment in Geneva for single, double or twin occupation (1 queen-size bed, 1 single bed, 1 office desk). Elevated ground floor (10 steps).",2,1.5,1.0,2.0,84.0
1192759,6454455,Private room in rental unit,Private room,1 private bath,"Geneva, Canton of Geneva, Switzerland",Large attic room with style center,Attic room (42m2) with spacious bathroom. This large master suite with private bathroom will welcome you to your current or average residence in Geneva.,2,1.0,1.0,1.0,83.0
1273891,6934153,Entire rental unit,Entire home/apt,2 baths,"Geneva, Canton of Geneva, Switzerland","Central, Lake-side apt., 3 bedrooms","Centrally located Geneva apartment, 100m from the Lake near the ""Jet d'eau"" and the Quai Gustave Ador, with lake view. Charm, high ceilings, in 19th century building. <br />130 sqm., 3 bedrooms, living room, dining room, 2 balconies, 2 bathrooms.<br />Sleeps 5+1 baby.",5,2.0,3.0,3.0,290.0
